Artist,Vinyl,Date Checked,Condition,Catalogue #,Year Released ,Label,Discog Link
84 Rooms,84 Rooms,1/18/2018,Good,1001,1982,Rackit,https://www.discogs.com/84-Rooms-84-Rooms/release/2676614
86,Closely Guarded Secret,1/18/2018,Good,OHP1086,1985,OHP Records,https://www.discogs.com/86-Closely-Guarded-Secret/release/2968451
86,Provocation,1/18/2018,Good,TR010,1987,Twilight Records,https://www.discogs.com/86-Provocation/master/506644
86,Minutes in a Day,1/18/2018,Good,TR006,1986,Twilight Records,https://www.discogs.com/86-Minutes-In-A-Day/master/328656
8 Storey Window,I thought you told me everything ,1/18/2018,Good,MM003,1994,Mad Minute Records,https://www.discogs.com/8-Storey-Window-I-Thought-You-Told-Me-Everything/release/3322563
test1,test2,test3,test4,test5,test6,test7,test8
The High Drifters ,Westall,03/04/2018,Good,none,21 Oct 2017,Not On Label (The High Drifers Self-released),https://www.discogs.com/The-High-Drifters-Westall/release/11661642
Various ,Música Para Lolos 5,03/05/2018,good,VBP-405,1973,Asfona,https://www.discogs.com/Various-M%C3%BAsica-Para-Lolos-5/release/11663612
Various ,Música Para Lolos 5,03/05/2018,good,VBP-405,1973,Asfona,https://www.discogs.com/Various-M%C3%BAsica-Para-Lolos-5/release/11663612
Petula Clark ,This Is My Song,03/05/2018,good,77315,N/A,SR International,https://www.discogs.com/Petula-Clark-This-Is-My-Song/release/11663610
working on it,working on it,03/05/2018,good,77315,N/A,SR International,https://www.discogs.com/Petula-Clark-This-Is-My-Song/release/11663610
-1,working on it,03/05/2018,good,77315,N/A,SR International,https://www.discogs.com/Petula-Clark-This-Is-My-Song/release/11663610
working,working,03/05/2018,good,77315,N/A,SR International,https://www.discogs.com/Petula-Clark-This-Is-My-Song/release/11663610
working,working,03/05/2018,good,77315,N/A,SR International,https://www.discogs.com/Petula-Clark-This-Is-My-Song/release/11663610
working,working,03/05/2018,good,77315,N/A,SR International,https://www.discogs.com/Petula-Clark-This-Is-My-Song/release/11663610
working,working,03/05/2018,good,77315,N/A,SR International,https://www.discogs.com/Petula-Clark-This-Is-My-Song/release/11663610
working,working,03/05/2018,good,77315,N/A,SR International,https://www.discogs.com/Petula-Clark-This-Is-My-Song/release/11663610
working,working,03/05/2018,good,77315,N/A,SR International,https://www.discogs.com/Petula-Clark-This-Is-My-Song/release/11663610
working,working,03/05/2018,good,77315,N/A,SR International,https://www.discogs.com/Petula-Clark-This-Is-My-Song/release/11663610
working,working,03/05/2018,good,77315,N/A,SR International,https://www.discogs.com/Petula-Clark-This-Is-My-Song/release/11663610
working,working,03/05/2018,ok,77315,N/A,SR International,https://www.discogs.com/Petula-Clark-This-Is-My-Song/release/11663610
working,working,03/05/2018,ok,77315,N/A,SR International,https://www.discogs.com/Petula-Clark-This-Is-My-Song/release/11663610
working,working,03/05/2018,ok,77315,N/A,SR International,https://www.discogs.com/Petula-Clark-This-Is-My-Song/release/11663610
"<bound method Tag.get_text of <a href=""/artist/22334-Petula-Clark"">Petula Clark</a>>",working,03/05/2018,good,77315,N/A,SR International,https://www.discogs.com/Petula-Clark-This-Is-My-Song/release/11663610
"<bound method Tag.get_text of <a href=""/artist/22334-Petula-Clark"">Petula Clark</a>>",working,03/05/2018,goor,77315,N/A,SR International,https://www.discogs.com/Petula-Clark-This-Is-My-Song/release/11663610
Petula Clark,working,03/05/2018,gooe,77315,N/A,SR International,https://www.discogs.com/Petula-Clark-This-Is-My-Song/release/11663610
Petula Clark,working,03/05/2018,good,77315,N/A,SR International,https://www.discogs.com/Petula-Clark-This-Is-My-Song/release/11663610
Petula Clark,"<span itemprop=""name"">
                                            This Is My Song
                                    </span>",03/05/2018,o,77315,N/A,SR International,https://www.discogs.com/Petula-Clark-This-Is-My-Song/release/11663610
Petula Clark,This Is My Song,03/05/2018,o,77315,N/A,SR International,https://www.discogs.com/Petula-Clark-This-Is-My-Song/release/11663610
Petula Clark,This Is My Song,03/05/2018,o,77315,N/A,SR International,https://www.discogs.com/Petula-Clark-This-Is-My-Song/release/11663610
